event_timestamp,flower_id,sepal_length,sepal_width,petal_length,petal_width,species
2025-06-20 10:46:52.795099,35,5.0,3.2,1.2,0.2,setosa
2025-06-20 10:47:52.795099,34,4.9,3.1,1.5,0.1,setosa
2025-06-20 10:48:52.795099,33,5.5,4.2,1.4,0.2,setosa
2025-06-20 10:49:52.795099,32,5.2,4.1,1.5,0.1,setosa
2025-06-20 10:50:52.795099,31,5.4,3.4,1.5,0.4,setosa
2025-06-20 10:51:52.795099,30,4.8,3.1,1.6,0.2,setosa
2025-06-20 10:52:52.795099,29,4.7,3.2,1.6,0.2,setosa
2025-06-20 10:53:52.795099,28,5.2,3.4,1.4,0.2,setosa
2025-06-20 10:54:52.795099,27,5.2,3.5,1.5,0.2,setosa
2025-06-20 10:55:52.795099,26,5.0,3.4,1.6,0.4,setosa
2025-06-20 10:56:52.795099,25,5.0,3.0,1.6,0.2,setosa
2025-06-20 10:57:52.795099,24,4.8,3.4,1.9,0.2,setosa
2025-06-20 10:58:52.795099,23,5.1,3.3,1.7,0.5,setosa
2025-06-20 10:59:52.795099,22,4.6,3.6,1.0,0.2,setosa
2025-06-20 11:00:52.795099,21,5.1,3.7,1.5,0.4,setosa
2025-06-20 11:01:52.795099,20,5.4,3.4,1.7,0.2,setosa
2025-06-20 11:02:52.795099,19,5.1,3.8,1.5,0.3,setosa
2025-06-20 11:03:52.795099,18,5.7,3.8,1.7,0.3,setosa
2025-06-20 11:04:52.795099,17,5.1,3.5,1.4,0.3,setosa
2025-06-20 11:05:52.795099,16,5.4,3.9,1.3,0.4,setosa
2025-06-20 11:06:52.795099,15,5.7,4.4,1.5,0.4,setosa
2025-06-20 11:07:52.795099,14,5.8,4.0,1.2,0.2,setosa
2025-06-20 11:08:52.795099,13,4.3,3.0,1.1,0.1,setosa
2025-06-20 11:09:52.795099,12,4.8,3.0,1.4,0.1,setosa
2025-06-20 11:10:52.795099,11,4.8,3.4,1.6,0.2,setosa
2025-06-20 11:11:52.795099,10,5.4,3.7,1.5,0.2,setosa
2025-06-20 11:12:52.795099,9,4.9,3.1,1.5,0.1,setosa
2025-06-20 11:13:52.795099,8,4.4,2.9,1.4,0.2,setosa
2025-06-20 11:14:52.795099,7,5.0,3.4,1.5,0.2,setosa
2025-06-20 11:15:52.795099,6,4.6,3.4,1.4,0.3,setosa
2025-06-20 11:16:52.795099,5,5.4,3.9,1.7,0.4,setosa
2025-06-20 11:17:52.795099,4,5.0,3.6,1.4,0.2,setosa
2025-06-20 11:18:52.795099,3,4.6,3.1,1.5,0.2,setosa
2025-06-20 11:19:52.795099,2,4.7,3.2,1.3,0.2,setosa
2025-06-20 11:20:52.795099,1,4.9,3.0,1.4,0.2,setosa
2025-06-20 11:21:52.795099,0,5.1,3.5,1.4,0.2,setosa
